1. Using architecture PEs=4, L1=16, L2=128
    8. Model resnet50 with 53 layers: 8.921e+00
    9. Model wide_resnet50 with 53 layers: 8.397e+00
    10. Model manual with 3 layers: 4.885e+00
    11. Model shufflenet_v2 with 56 layers: 8.655e+00
    12. Model squeezenet with 26 layers: 9.565e+00
    13. Model try with 3 layers: 6.333e+00
    14. Model resnet18 with 20 layers: 9.765e+00
    15. Model vgg16 with 13 layers: 8.404e+00
    16. Model densenet with 160 layers: 8.510e+00
    17. Model T5_m with 6 layers: 1.400e+00
    18. Model resnext50_32x4d with 53 layers: 8.126e+00
    19. Model BERT_m with 6 layers: 3.038e+00
    20. Model ALBERT_m with 5 layers: 1.490e+00

Final result with all models and fixed hardware = 7.562205966170501

102. Using architecture PEs=128, L1=16, L2=256
    1. Model mnasnet with 52 layers: 1.562e+01
    2. Model ncf_m with 12 layers: 3.086e+00
    3. Model mobilenet_v2 with 52 layers: 1.419e+01
    4. Model googlenet with 59 layers: 1.617e+01
    5. Model dlrmRMC1_m with 6 layers: 1.500e+01
    6. Model alexnet with 5 layers: 1.557e+01
    7. Model transformer with 96 layers: 9.058e+00
    8. Model resnet50 with 53 layers: 1.745e+01
    9. Model wide_resnet50 with 53 layers: 1.597e+01
    10. Model manual with 3 layers: 1.489e+01
    11. Model shufflenet_v2 with 56 layers: 1.635e+01
    12. Model squeezenet with 26 layers: 1.925e+01
    13. Model try with 3 layers: 1.485e+01
    14. Model resnet18 with 20 layers: 1.527e+01
    15. Model vgg16 with 13 layers: 1.571e+01
    16. Model densenet with 160 layers: 1.621e+01
    17. Model T5_m with 6 layers: 7.729e+00
    18. Model resnext50_32x4d with 53 layers: 1.618e+01
    19. Model BERT_m with 6 layers: 4.079e+00
    20. Model ALBERT_m with 5 layers: 1.001e+01

Final result with all models and fixed hardware = 14.798117679296345

103. Using architecture PEs=128, L1=16, L2=512
    1. Model mnasnet with 52 layers: 2.759e+01
    2. Model ncf_m with 12 layers: 1.498e+01
    3. Model mobilenet_v2 with 52 layers: 3.314e+01
    4. Model googlenet with 59 layers: 3.254e+01
    5. Model dlrmRMC1_m with 6 layers: 8.661e+00
    6. Model alexnet with 5 layers: 3.445e+01
    7. Model transformer with 96 layers: 1.677e+01
    8. Model resnet50 with 53 layers: 2.875e+01
    9. Model wide_resnet50 with 53 layers: 2.703e+01
    10. Model manual with 3 layers: 2.933e+01
    11. Model shufflenet_v2 with 56 layers: 3.099e+01
    12. Model squeezenet with 26 layers: 3.184e+01
    13. Model try with 3 layers: 2.281e+01
    14. Model resnet18 with 20 layers: 2.714e+01
    15. Model vgg16 with 13 layers: 3.365e+01
    16. Model densenet with 160 layers: 2.934e+01
    17. Model T5_m with 6 layers: 1.443e+01
    18. Model resnext50_32x4d with 53 layers: 2.229e+01
    19. Model BERT_m with 6 layers: 1.593e+01
    20. Model ALBERT_m with 5 layers: 2.595e+01

Final result with all models and fixed hardware = 26.97680630581867

104. Using architecture PEs=128, L1=16, L2=1024
    1. Model mnasnet with 52 layers: 5.135e+01
    2. Model ncf_m with 12 layers: 5.460e+01
    3. Model mobilenet_v2 with 52 layers: 4.954e+01
    4. Model googlenet with 59 layers: 5.253e+01
    5. Model dlrmRMC1_m with 6 layers: 5.644e+01
    6. Model alexnet with 5 layers: 6.400e+01
    7. Model transformer with 96 layers: 6.019e+01
    8. Model resnet50 with 53 layers: 5.293e+01
    9. Model wide_resnet50 with 53 layers: 5.654e+01
    10. Model manual with 3 layers: 5.200e+01
    11. Model shufflenet_v2 with 56 layers: 5.048e+01
    12. Model squeezenet with 26 layers: 5.328e+01
    13. Model try with 3 layers: 5.169e+01
    14. Model resnet18 with 20 layers: 6.509e+01
    15. Model vgg16 with 13 layers: 5.756e+01
    16. Model densenet with 160 layers: 5.059e+01
    17. Model T5_m with 6 layers: 5.943e+01
    18. Model resnext50_32x4d with 53 layers: 5.877e+01
    19. Model BERT_m with 6 layers: 6.206e+01
    20. Model ALBERT_m with 5 layers: 6.400e+01

Final result with all models and fixed hardware = 54.22375978078484

105. Using architecture PEs=128, L1=16, L2=2048
    1. Model mnasnet with 52 layers: 6.143e+01
    2. Model ncf_m with 12 layers: 5.236e+01
    3. Model mobilenet_v2 with 52 layers: 6.078e+01
    4. Model googlenet with 59 layers: 5.995e+01
    5. Model dlrmRMC1_m with 6 layers: 5.727e+01
    6. Model alexnet with 5 layers: 6.883e+01
    7. Model transformer with 96 layers: 6.481e+01
    8. Model resnet50 with 53 layers: 6.545e+01
    9. Model wide_resnet50 with 53 layers: 6.949e+01
    10. Model manual with 3 layers: 6.393e+01
    11. Model shufflenet_v2 with 56 layers: 6.146e+01
    12. Model squeezenet with 26 layers: 6.089e+01
    13. Model try with 3 layers: 6.437e+01
    14. Model resnet18 with 20 layers: 6.764e+01
    15. Model vgg16 with 13 layers: 6.586e+01
    16. Model densenet with 160 layers: 6.404e+01
    17. Model T5_m with 6 layers: 6.400e+01
    18. Model resnext50_32x4d with 53 layers: 6.749e+01
    19. Model BERT_m with 6 layers: 6.400e+01
    20. Model ALBERT_m with 5 layers: 6.400e+01

Final result with all models and fixed hardware = 63.75046404600812

106. Using architecture PEs=128, L1=32, L2=128
    1. Model mnasnet with 52 layers: 8.740e+00
    2. Model ncf_m with 12 layers: 3.698e+00
    3. Model mobilenet_v2 with 52 layers: 8.077e+00
    4. Model googlenet with 59 layers: 9.768e+00
    5. Model dlrmRMC1_m with 6 layers: 6.406e+00
    6. Model alexnet with 5 layers: 7.384e+00
    7. Model transformer with 96 layers: 3.492e+00
    8. Model resnet50 with 53 layers: 8.833e+00
    9. Model wide_resnet50 with 53 layers: 8.593e+00
    10. Model manual with 3 layers: 1.570e+00
    11. Model shufflenet_v2 with 56 layers: 8.688e+00
    12. Model squeezenet with 26 layers: 1.030e+01
    13. Model try with 3 layers: 9.316e+00
    14. Model resnet18 with 20 layers: 1.049e+01
    15. Model vgg16 with 13 layers: 8.290e+00
    16. Model densenet with 160 layers: 8.041e+00
    17. Model T5_m with 6 layers: 5.165e+00
    18. Model resnext50_32x4d with 53 layers: 8.517e+00
    19. Model BERT_m with 6 layers: 4.388e+00
    20. Model ALBERT_m with 5 layers: 5.592e+00

Final result with all models and fixed hardware = 7.790525407307173

107. Using architecture PEs=128, L1=32, L2=256
    1. Model mnasnet with 52 layers: 1.618e+01
    2. Model ncf_m with 12 layers: 9.376e+00
    3. Model mobilenet_v2 with 52 layers: 1.593e+01
    4. Model googlenet with 59 layers: 1.460e+01
    5. Model dlrmRMC1_m with 6 layers: 9.780e+00
    6. Model alexnet with 5 layers: 1.547e+01
    7. Model transformer with 96 layers: 7.632e+00
    8. Model resnet50 with 53 layers: 1.614e+01
    9. Model wide_resnet50 with 53 layers: 1.409e+01
    10. Model manual with 3 layers: 1.400e+01
    11. Model shufflenet_v2 with 56 layers: 1.437e+01
    12. Model squeezenet with 26 layers: 2.265e+01
    13. Model try with 3 layers: 1.700e+01
    14. Model resnet18 with 20 layers: 2.294e+01
    15. Model vgg16 with 13 layers: 2.262e+01
    16. Model densenet with 160 layers: 1.717e+01
    17. Model T5_m with 6 layers: 1.730e+01
    18. Model resnext50_32x4d with 53 layers: 1.717e+01
    19. Model BERT_m with 6 layers: 9.726e+00
    20. Model ALBERT_m with 5 layers: 2.606e+00

Final result with all models and fixed hardware = 15.138072579161031

108. Using architecture PEs=128, L1=32, L2=512
    1. Model mnasnet with 52 layers: 3.182e+01
    2. Model ncf_m with 12 layers: 1.945e+01
    3. Model mobilenet_v2 with 52 layers: 3.019e+01
    4. Model googlenet with 59 layers: 2.871e+01
    5. Model dlrmRMC1_m with 6 layers: 1.625e+01
    6. Model alexnet with 5 layers: 2.053e+01
    7. Model transformer with 96 layers: 1.606e+01
    8. Model resnet50 with 53 layers: 2.429e+01
    9. Model wide_resnet50 with 53 layers: 2.425e+01
    10. Model manual with 3 layers: 3.244e+01
    11. Model shufflenet_v2 with 56 layers: 3.061e+01
    12. Model squeezenet with 26 layers: 3.357e+01
    13. Model try with 3 layers: 1.769e+01
    14. Model resnet18 with 20 layers: 3.164e+01
    15. Model vgg16 with 13 layers: 2.948e+01
    16. Model densenet with 160 layers: 2.644e+01
    17. Model T5_m with 6 layers: 1.519e+01
    18. Model resnext50_32x4d with 53 layers: 2.674e+01
    19. Model BERT_m with 6 layers: 1.249e+01
    20. Model ALBERT_m with 5 layers: 1.171e+01

Final result with all models and fixed hardware = 25.835225343707716

109. Using architecture PEs=128, L1=32, L2=1024
    1. Model mnasnet with 52 layers: 4.975e+01
    2. Model ncf_m with 12 layers: 4.557e+01
    3. Model mobilenet_v2 with 52 layers: 4.850e+01
    4. Model googlenet with 59 layers: 5.208e+01
    5. Model dlrmRMC1_m with 6 layers: 5.045e+01
    6. Model alexnet with 5 layers: 4.166e+01
    7. Model transformer with 96 layers: 6.029e+01
    8. Model resnet50 with 53 layers: 5.733e+01
    9. Model wide_resnet50 with 53 layers: 5.724e+01
    10. Model manual with 3 layers: 6.044e+01
    11. Model shufflenet_v2 with 56 layers: 4.876e+01
    12. Model squeezenet with 26 layers: 5.111e+01
    13. Model try with 3 layers: 5.916e+01
    14. Model resnet18 with 20 layers: 5.805e+01
    15. Model vgg16 with 13 layers: 5.136e+01
    16. Model densenet with 160 layers: 5.147e+01
    17. Model T5_m with 6 layers: 5.926e+01
    18. Model resnext50_32x4d with 53 layers: 5.601e+01
    19. Model BERT_m with 6 layers: 5.867e+01
    20. Model ALBERT_m with 5 layers: 6.961e+01

Final result with all models and fixed hardware = 53.594098270635996

110. Using architecture PEs=128, L1=32, L2=2048
    1. Model mnasnet with 52 layers: 6.449e+01
    2. Model ncf_m with 12 layers: 6.190e+01
    3. Model mobilenet_v2 with 52 layers: 6.157e+01
    4. Model googlenet with 59 layers: 5.836e+01
    5. Model dlrmRMC1_m with 6 layers: 4.848e+01
    6. Model alexnet with 5 layers: 7.341e+01
    7. Model transformer with 96 layers: 6.563e+01
    8. Model resnet50 with 53 layers: 6.857e+01
    9. Model wide_resnet50 with 53 layers: 6.319e+01
    10. Model manual with 3 layers: 5.680e+01
    11. Model shufflenet_v2 with 56 layers: 6.676e+01
    12. Model squeezenet with 26 layers: 5.731e+01
    13. Model try with 3 layers: 5.916e+01
    14. Model resnet18 with 20 layers: 6.143e+01
    15. Model vgg16 with 13 layers: 7.075e+01
    16. Model densenet with 160 layers: 5.745e+01
    17. Model T5_m with 6 layers: 5.938e+01
    18. Model resnext50_32x4d with 53 layers: 6.540e+01
    19. Model BERT_m with 6 layers: 6.400e+01
    20. Model ALBERT_m with 5 layers: 7.314e+01

Final result with all models and fixed hardware = 62.47875082949932

111. Using architecture PEs=128, L1=64, L2=128
    1. Model mnasnet with 52 layers: 8.191e+00
    2. Model ncf_m with 12 layers: 3.539e+00
    3. Model mobilenet_v2 with 52 layers: 7.605e+00
    4. Model googlenet with 59 layers: 8.599e+00
    5. Model dlrmRMC1_m with 6 layers: 1.624e+00
    6. Model alexnet with 5 layers: 1.318e+01
    7. Model transformer with 96 layers: 3.174e+00
    8. Model resnet50 with 53 layers: 8.195e+00
    9. Model wide_resnet50 with 53 layers: 8.516e+00
    10. Model manual with 3 layers: 9.057e+00
    11. Model shufflenet_v2 with 56 layers: 8.432e+00
    12. Model squeezenet with 26 layers: 9.260e+00
    13. Model try with 3 layers: 7.599e+00
    14. Model resnet18 with 20 layers: 7.140e+00
    15. Model vgg16 with 13 layers: 9.822e+00
    16. Model densenet with 160 layers: 8.279e+00
    17. Model T5_m with 6 layers: 3.073e+00
    18. Model resnext50_32x4d with 53 layers: 8.352e+00
    19. Model BERT_m with 6 layers: 1.739e+00
    20. Model ALBERT_m with 5 layers: 3.379e+00

Final result with all models and fixed hardware = 7.420467215155616

112. Using architecture PEs=128, L1=64, L2=256
    1. Model mnasnet with 52 layers: 1.594e+01
    2. Model ncf_m with 12 layers: 9.689e+00
    3. Model mobilenet_v2 with 52 layers: 1.441e+01
    4. Model googlenet with 59 layers: 1.558e+01
    5. Model dlrmRMC1_m with 6 layers: 8.305e+00
    6. Model alexnet with 5 layers: 1.587e+01
    7. Model transformer with 96 layers: 9.434e+00
    8. Model resnet50 with 53 layers: 1.675e+01
    9. Model wide_resnet50 with 53 layers: 1.643e+01
    10. Model manual with 3 layers: 1.932e+01
    11. Model shufflenet_v2 with 56 layers: 1.555e+01
    12. Model squeezenet with 26 layers: 2.073e+01
    13. Model try with 3 layers: 4.825e+00
    14. Model resnet18 with 20 layers: 1.681e+01
    15. Model vgg16 with 13 layers: 1.532e+01
    16. Model densenet with 160 layers: 1.677e+01
    17. Model T5_m with 6 layers: 1.122e+01
    18. Model resnext50_32x4d with 53 layers: 1.619e+01
    19. Model BERT_m with 6 layers: 6.700e+00
    20. Model ALBERT_m with 5 layers: 1.249e+01

Final result with all models and fixed hardware = 15.06931121650879

113. Using architecture PEs=128, L1=64, L2=512
    1. Model mnasnet with 52 layers: 3.110e+01
    2. Model ncf_m with 12 layers: 1.673e+01
    3. Model mobilenet_v2 with 52 layers: 2.721e+01
    4. Model googlenet with 59 layers: 2.943e+01
    5. Model dlrmRMC1_m with 6 layers: 2.000e+01
    6. Model alexnet with 5 layers: 2.208e+01
    7. Model transformer with 96 layers: 1.711e+01
    8. Model resnet50 with 53 layers: 2.669e+01
    9. Model wide_resnet50 with 53 layers: 2.645e+01
    10. Model manual with 3 layers: 3.389e+01
    11. Model shufflenet_v2 with 56 layers: 3.236e+01
    12. Model squeezenet with 26 layers: 2.625e+01
    13. Model try with 3 layers: 2.740e+01
    14. Model resnet18 with 20 layers: 3.177e+01
    15. Model vgg16 with 13 layers: 2.978e+01
    16. Model densenet with 160 layers: 2.466e+01
    17. Model T5_m with 6 layers: 1.729e+01
    18. Model resnext50_32x4d with 53 layers: 2.499e+01
    19. Model BERT_m with 6 layers: 1.324e+01
    20. Model ALBERT_m with 5 layers: 1.664e+01

Final result with all models and fixed hardware = 25.568498227334228

114. Using architecture PEs=128, L1=64, L2=1024
    1. Model mnasnet with 52 layers: 5.185e+01
    2. Model ncf_m with 12 layers: 6.119e+01
    3. Model mobilenet_v2 with 52 layers: 5.609e+01
    4. Model googlenet with 59 layers: 5.044e+01
    5. Model dlrmRMC1_m with 6 layers: 4.529e+01
    6. Model alexnet with 5 layers: 4.402e+01
    7. Model transformer with 96 layers: 6.072e+01
    8. Model resnet50 with 53 layers: 5.841e+01
    9. Model wide_resnet50 with 53 layers: 5.631e+01
    10. Model manual with 3 layers: 4.726e+01
    11. Model shufflenet_v2 with 56 layers: 5.248e+01
    12. Model squeezenet with 26 layers: 5.476e+01
    13. Model try with 3 layers: 3.324e+01
    14. Model resnet18 with 20 layers: 5.744e+01
    15. Model vgg16 with 13 layers: 6.607e+01
    16. Model densenet with 160 layers: 5.180e+01
    17. Model T5_m with 6 layers: 6.400e+01
    18. Model resnext50_32x4d with 53 layers: 5.596e+01
    19. Model BERT_m with 6 layers: 5.881e+01
    20. Model ALBERT_m with 5 layers: 5.973e+01

Final result with all models and fixed hardware = 54.97238709742896

115. Using architecture PEs=128, L1=64, L2=2048
    1. Model mnasnet with 52 layers: 6.239e+01
    2. Model ncf_m with 12 layers: 6.172e+01
    3. Model mobilenet_v2 with 52 layers: 6.360e+01
    4. Model googlenet with 59 layers: 5.824e+01
    5. Model dlrmRMC1_m with 6 layers: 4.609e+01
    6. Model alexnet with 5 layers: 6.518e+01
    7. Model transformer with 96 layers: 6.670e+01
    8. Model resnet50 with 53 layers: 6.816e+01
    9. Model wide_resnet50 with 53 layers: 7.250e+01
    10. Model manual with 3 layers: 5.850e+01
    11. Model shufflenet_v2 with 56 layers: 6.542e+01
    12. Model squeezenet with 26 layers: 5.832e+01
    13. Model try with 3 layers: 5.670e+01
    14. Model resnet18 with 20 layers: 6.509e+01
    15. Model vgg16 with 13 layers: 6.644e+01
    16. Model densenet with 160 layers: 6.017e+01
    17. Model T5_m with 6 layers: 6.313e+01
    18. Model resnext50_32x4d with 53 layers: 6.859e+01
    19. Model BERT_m with 6 layers: 6.552e+01
    20. Model ALBERT_m with 5 layers: 5.160e+01

Final result with all models and fixed hardware = 63.83179154262517

116. Using architecture PEs=128, L1=128, L2=128
    1. Model mnasnet with 52 layers: 8.196e+00
    2. Model ncf_m with 12 layers: 6.173e+00
    3. Model mobilenet_v2 with 52 layers: 8.215e+00
    4. Model googlenet with 59 layers: 8.915e+00
    5. Model dlrmRMC1_m with 6 layers: 5.681e+00
    6. Model alexnet with 5 layers: 7.721e+00
    7. Model transformer with 96 layers: 2.666e+00
    8. Model resnet50 with 53 layers: 7.764e+00
    9. Model wide_resnet50 with 53 layers: 7.910e+00
    10. Model manual with 3 layers: 7.672e+00
    11. Model shufflenet_v2 with 56 layers: 8.625e+00
    12. Model squeezenet with 26 layers: 9.737e+00
    13. Model try with 3 layers: 7.118e+00
    14. Model resnet18 with 20 layers: 9.395e+00
    15. Model vgg16 with 13 layers: 6.402e+00
    16. Model densenet with 160 layers: 8.684e+00
    17. Model T5_m with 6 layers: 1.501e+00
    18. Model resnext50_32x4d with 53 layers: 7.999e+00
    19. Model BERT_m with 6 layers: 3.416e+00
    20. Model ALBERT_m with 5 layers: 6.929e+00

Final result with all models and fixed hardware = 7.49927394993234

117. Using architecture PEs=128, L1=128, L2=256
    1. Model mnasnet with 52 layers: 1.541e+01
    2. Model ncf_m with 12 layers: 5.992e+00
    3. Model mobilenet_v2 with 52 layers: 1.491e+01
    4. Model googlenet with 59 layers: 1.833e+01
    5. Model dlrmRMC1_m with 6 layers: 1.325e+01
    6. Model alexnet with 5 layers: 1.359e+01
    7. Model transformer with 96 layers: 7.975e+00
    8. Model resnet50 with 53 layers: 1.944e+01
    9. Model wide_resnet50 with 53 layers: 1.681e+01
    10. Model manual with 3 layers: 2.499e+01
    11. Model shufflenet_v2 with 56 layers: 1.583e+01
    12. Model squeezenet with 26 layers: 1.748e+01
    13. Model try with 3 layers: 1.428e+01
    14. Model resnet18 with 20 layers: 1.754e+01
    15. Model vgg16 with 13 layers: 1.821e+01
    16. Model densenet with 160 layers: 1.687e+01
    17. Model T5_m with 6 layers: 7.206e+00
    18. Model resnext50_32x4d with 53 layers: 1.503e+01
    19. Model BERT_m with 6 layers: 3.773e+00
    20. Model ALBERT_m with 5 layers: 4.630e+00

Final result with all models and fixed hardware = 15.149628055480377

118. Using architecture PEs=128, L1=128, L2=512
    1. Model mnasnet with 52 layers: 3.016e+01
    2. Model ncf_m with 12 layers: 1.373e+01
    3. Model mobilenet_v2 with 52 layers: 2.623e+01
    4. Model googlenet with 59 layers: 3.224e+01
    5. Model dlrmRMC1_m with 6 layers: 1.060e+01
    6. Model alexnet with 5 layers: 1.648e+01
    7. Model transformer with 96 layers: 1.583e+01
    8. Model resnet50 with 53 layers: 2.604e+01
    9. Model wide_resnet50 with 53 layers: 2.361e+01
    10. Model manual with 3 layers: 3.418e+01
    11. Model shufflenet_v2 with 56 layers: 3.216e+01
    12. Model squeezenet with 26 layers: 3.321e+01
    13. Model try with 3 layers: 3.226e+01
    14. Model resnet18 with 20 layers: 2.605e+01
    15. Model vgg16 with 13 layers: 3.192e+01
    16. Model densenet with 160 layers: 2.650e+01
    17. Model T5_m with 6 layers: 2.589e+01
    18. Model resnext50_32x4d with 53 layers: 2.644e+01
    19. Model BERT_m with 6 layers: 1.918e+01
    20. Model ALBERT_m with 5 layers: 2.135e+01

Final result with all models and fixed hardware = 25.866419050067666

119. Using architecture PEs=128, L1=128, L2=1024
    1. Model mnasnet with 52 layers: 5.189e+01
    2. Model ncf_m with 12 layers: 5.423e+01
    3. Model mobilenet_v2 with 52 layers: 4.969e+01
    4. Model googlenet with 59 layers: 5.241e+01
    5. Model dlrmRMC1_m with 6 layers: 4.720e+01
    6. Model alexnet with 5 layers: 4.799e+01
    7. Model transformer with 96 layers: 6.269e+01
    8. Model resnet50 with 53 layers: 5.906e+01
    9. Model wide_resnet50 with 53 layers: 5.139e+01
    10. Model manual with 3 layers: 4.917e+01
    11. Model shufflenet_v2 with 56 layers: 4.962e+01
    12. Model squeezenet with 26 layers: 5.229e+01
    13. Model try with 3 layers: 5.859e+01
    14. Model resnet18 with 20 layers: 5.566e+01
    15. Model vgg16 with 13 layers: 5.906e+01
    16. Model densenet with 160 layers: 5.122e+01
    17. Model T5_m with 6 layers: 5.738e+01
    18. Model resnext50_32x4d with 53 layers: 5.597e+01
    19. Model BERT_m with 6 layers: 5.867e+01
    20. Model ALBERT_m with 5 layers: 5.760e+01

Final result with all models and fixed hardware = 54.00464809201624

120. Using architecture PEs=128, L1=128, L2=2048
    1. Model mnasnet with 52 layers: 5.768e+01
    2. Model ncf_m with 12 layers: 6.209e+01
    3. Model mobilenet_v2 with 52 layers: 5.419e+01
    4. Model googlenet with 59 layers: 5.689e+01
    5. Model dlrmRMC1_m with 6 layers: 4.653e+01
    6. Model alexnet with 5 layers: 7.017e+01
    7. Model transformer with 96 layers: 6.618e+01
    8. Model resnet50 with 53 layers: 6.661e+01
    9. Model wide_resnet50 with 53 layers: 7.252e+01
    10. Model manual with 3 layers: 4.133e+01
    11. Model shufflenet_v2 with 56 layers: 6.235e+01
    12. Model squeezenet with 26 layers: 5.833e+01
    13. Model try with 3 layers: 5.747e+01
    14. Model resnet18 with 20 layers: 6.178e+01
    15. Model vgg16 with 13 layers: 6.982e+01
    16. Model densenet with 160 layers: 5.790e+01
    17. Model T5_m with 6 layers: 7.040e+01
    18. Model resnext50_32x4d with 53 layers: 7.095e+01
    19. Model BERT_m with 6 layers: 6.727e+01
    20. Model ALBERT_m with 5 layers: 7.251e+01

Final result with all models and fixed hardware = 62.16264363058187

121. Using architecture PEs=256, L1=16, L2=128
    1. Model mnasnet with 52 layers: 8.318e+00
    2. Model ncf_m with 12 layers: 2.932e+00
    3. Model mobilenet_v2 with 52 layers: 9.197e+00
    4. Model googlenet with 59 layers: 9.546e+00
    5. Model dlrmRMC1_m with 6 layers: 5.408e+00
    6. Model alexnet with 5 layers: 5.539e+00
    7. Model transformer with 96 layers: 3.109e+00
    8. Model resnet50 with 53 layers: 8.649e+00
    9. Model wide_resnet50 with 53 layers: 7.890e+00
    10. Model manual with 3 layers: 3.509e+00
    11. Model shufflenet_v2 with 56 layers: 9.343e+00
    12. Model squeezenet with 26 layers: 1.142e+01
    13. Model try with 3 layers: 4.507e+00
    14. Model resnet18 with 20 layers: 1.042e+01
    15. Model vgg16 with 13 layers: 8.539e+00
    16. Model densenet with 160 layers: 7.973e+00
    17. Model T5_m with 6 layers: 2.480e+00
    18. Model resnext50_32x4d with 53 layers: 7.964e+00
    19. Model BERT_m with 6 layers: 5.238e+00
    20. Model ALBERT_m with 5 layers: 3.285e+00

Final result with all models and fixed hardware = 7.670138903924223

122. Using architecture PEs=256, L1=16, L2=256
    1. Model mnasnet with 52 layers: 1.583e+01
    2. Model ncf_m with 12 layers: 9.419e+00
    3. Model mobilenet_v2 with 52 layers: 1.338e+01
    4. Model googlenet with 59 layers: 1.645e+01
    5. Model dlrmRMC1_m with 6 layers: 1.313e+01
    6. Model alexnet with 5 layers: 1.195e+01
    7. Model transformer with 96 layers: 7.987e+00
    8. Model resnet50 with 53 layers: 1.657e+01
    9. Model wide_resnet50 with 53 layers: 1.565e+01
    10. Model manual with 3 layers: 1.090e+01
    11. Model shufflenet_v2 with 56 layers: 1.393e+01
    12. Model squeezenet with 26 layers: 2.229e+01
    13. Model try with 3 layers: 9.708e+00
    14. Model resnet18 with 20 layers: 1.906e+01
    15. Model vgg16 with 13 layers: 2.071e+01
    16. Model densenet with 160 layers: 1.805e+01
    17. Model T5_m with 6 layers: 1.228e+01
    18. Model resnext50_32x4d with 53 layers: 1.487e+01
    19. Model BERT_m with 6 layers: 1.106e+01
    20. Model ALBERT_m with 5 layers: 1.318e+01

Final result with all models and fixed hardware = 15.116472853856566

123. Using architecture PEs=256, L1=16, L2=512
    1. Model mnasnet with 52 layers: 3.185e+01
    2. Model ncf_m with 12 layers: 3.296e+01
    3. Model mobilenet_v2 with 52 layers: 3.281e+01
    4. Model googlenet with 59 layers: 3.182e+01
    5. Model dlrmRMC1_m with 6 layers: 1.308e+01
    6. Model alexnet with 5 layers: 3.027e+01
    7. Model transformer with 96 layers: 1.738e+01
    8. Model resnet50 with 53 layers: 3.160e+01
    9. Model wide_resnet50 with 53 layers: 2.847e+01
    10. Model manual with 3 layers: 1.932e+01
    11. Model shufflenet_v2 with 56 layers: 3.213e+01
    12. Model squeezenet with 26 layers: 3.183e+01
    13. Model try with 3 layers: 2.421e+01
    14. Model resnet18 with 20 layers: 3.314e+01
    15. Model vgg16 with 13 layers: 2.980e+01
    16. Model densenet with 160 layers: 2.819e+01
    17. Model T5_m with 6 layers: 8.825e+00
    18. Model resnext50_32x4d with 53 layers: 2.446e+01
    19. Model BERT_m with 6 layers: 1.850e+01
    20. Model ALBERT_m with 5 layers: 1.869e+01

Final result with all models and fixed hardware = 27.860434572395125

124. Using architecture PEs=256, L1=16, L2=1024
    1. Model mnasnet with 52 layers: 5.308e+01
    2. Model ncf_m with 12 layers: 4.924e+01
    3. Model mobilenet_v2 with 52 layers: 5.180e+01
    4. Model googlenet with 59 layers: 6.423e+01
    5. Model dlrmRMC1_m with 6 layers: 2.979e+01
    6. Model alexnet with 5 layers: 4.638e+01
    7. Model transformer with 96 layers: 3.160e+01
    8. Model resnet50 with 53 layers: 5.389e+01
    9. Model wide_resnet50 with 53 layers: 4.853e+01
    10. Model manual with 3 layers: 5.170e+01
    11. Model shufflenet_v2 with 56 layers: 6.200e+01
    12. Model squeezenet with 26 layers: 5.753e+01
    13. Model try with 3 layers: 4.233e+01
    14. Model resnet18 with 20 layers: 6.637e+01
    15. Model vgg16 with 13 layers: 5.403e+01
    16. Model densenet with 160 layers: 6.884e+01
    17. Model T5_m with 6 layers: 4.477e+01
    18. Model resnext50_32x4d with 53 layers: 4.295e+01
    19. Model BERT_m with 6 layers: 2.850e+01
    20. Model ALBERT_m with 5 layers: 4.213e+01

Final result with all models and fixed hardware = 54.02988072936401

125. Using architecture PEs=256, L1=16, L2=2048
    1. Model mnasnet with 52 layers: 8.871e+01
    2. Model ncf_m with 12 layers: 1.003e+02
    3. Model mobilenet_v2 with 52 layers: 9.349e+01
    4. Model googlenet with 59 layers: 9.522e+01
    5. Model dlrmRMC1_m with 6 layers: 8.846e+01
    6. Model alexnet with 5 layers: 7.319e+01
    7. Model transformer with 96 layers: 1.167e+02
    8. Model resnet50 with 53 layers: 1.182e+02
    9. Model wide_resnet50 with 53 layers: 1.161e+02
    10. Model manual with 3 layers: 1.102e+02
    11. Model shufflenet_v2 with 56 layers: 8.357e+01
    12. Model squeezenet with 26 layers: 1.089e+02
    13. Model try with 3 layers: 6.723e+01
    14. Model resnet18 with 20 layers: 1.099e+02
    15. Model vgg16 with 13 layers: 8.710e+01
    16. Model densenet with 160 layers: 9.654e+01
    17. Model T5_m with 6 layers: 1.252e+02
    18. Model resnext50_32x4d with 53 layers: 1.057e+02
    19. Model BERT_m with 6 layers: 1.280e+02
    20. Model ALBERT_m with 5 layers: 1.280e+02

Final result with all models and fixed hardware = 102.03103144384303

126. Using architecture PEs=256, L1=32, L2=128
    1. Model mnasnet with 52 layers: 8.197e+00
    2. Model ncf_m with 12 layers: 2.712e+00
    3. Model mobilenet_v2 with 52 layers: 8.967e+00
    4. Model googlenet with 59 layers: 8.913e+00
    5. Model dlrmRMC1_m with 6 layers: 4.423e+00
    6. Model alexnet with 5 layers: 7.961e+00
    7. Model transformer with 96 layers: 3.076e+00
    8. Model resnet50 with 53 layers: 7.814e+00
    9. Model wide_resnet50 with 53 layers: 7.702e+00
